"charger_station","location","approx_coordinates","objectid"
"Västerås Sjöhagsvägen | GITO","Sjöhagsvägen 17, 72132 Västerås","59°35'26.6""N 16°30'58.6""E","29"
"Creek Power - Norsborg","Kumla gårdsväg 3, 14563 Norsborg","59°13'40.5""N 17°50'6.6""E","521"
"Nässjö Terminalgatan | GITO","Terminalgatan 7, 57134 Nässjö","57°40'40.1""N 14°41'20.2""E","6"
"Dingle Charge 500kW","Kallkärrsvägen 21, 45561 Dingle","58°32'0.3""N 11°34'9.3""E","653"
"Vara Fordonsgatan | GITO","Fordonsgatan 13, 53450 Vara","58°15'31.5""N 12°58'47.3""E","18"
"Vårgårda Emtunga Transport | GITO","Länsväg 181, 44791 Vårgårda","58°3'1.2""N 12°50'50.9""E","15"
"Melleruds Handel | GITO","Hantverkargatan 3, 46434 Mellerud","58°42'11.8""N 12°26'56.4""E","21"
"Norrköping Einride Station","Blygatan 25, 60223 Norrköping","58°36'50.9""N 16°9'58.3""E","446"
"Qstar Hova Elladdning","Örebrovägen 4, 54832 Hova","58°51'39.3""N 14°13'2.8""E","22"
"Scania Sverige Jordbro","Silovägen 14, 13650 Jordbro","59°9'16.5""N 18°6'37.0""E","659"
"Valdemarsvik Mossebogatan | GITO","Mossebogatan, 61595 Valdemarsvik","58°13'22.4""N 16°33'16.5""E","17"
"Circle K Borås Viared Trucks","VIARED, 50180 Borås","57°41'56.3""N 12°49'13.8""E","104"
"Preem Örebro Berglunda Truck","Berglundavägen 20, 70236 Örebro","59°14'8.7""N 15°8'8.3""E","656"
"Lundbygatan 11","Lundbygatan 11, 62141 Visby","57°38'24.0""N 18°20'11.2""E","5"
"Circle K Truck Örebro Berglunda","Berglundavägen 3, 70227 Örebro","59°14'16.7""N 15°7'20.6""E","655"
"Recharge Vansbro HDV","Älvgatan 5, 78633 Vansbro","60°30'29.8""N 14°13'53.3""E","360"
"Sala Evelunds rastplats | GITO","Trefoten 130, 73394 Sala","59°53'20.7""N 16°33'51.7""E","357"
"Sundsvall - Bergsgatan 120","Bergsgatan 120, 85350 Sundsvall","62°23'44.1""N 17°15'27.0""E","83"
"kWatt Tärendö","Tärendö, 98493 Tärendö","67°9'31.9""N 22°38'27.1""E","552"
"kWatt Piteå Lastbil U+0026amp; personbil","Kolugnsvägen 29, 94138 Piteå","65°19'4.0""N 21°26'32.2""E","142"
"kWatt Lastbil Haparanda","Norra Esplanaden 6, 95331 Haparanda","65°50'22.5""N 24°7'59.5""E","56"
"kWatt Boden Tung","Kaptensgatan 2, 96136 Boden","65°49'28.2""N 21°40'6.7""E","55"
"kWatt Älvsbyn","Betonggatan 3, 94236 Älvsbyn","65°40'55.6""N 20°58'21.6""E","222"
"kWatt Tärnaby","Industrivägen 2, 92531 Tärnaby","65°42'34.8""N 15°15'4.6""E","551"
"kWatt Bureå Lastbil U+0026amp; Personbil","Sinusgatan 2, 93251 Bureå","64°36'50.7""N 21°11'6.5""E","48"
"kWatt Umeå Lastbil U+0026amp; Personbil","Plattvägen 1, 90622 Umeå","63°51'7.1""N 20°21'10.1""E","40"
"Moskosel Tung 1","Storstugvägen 11, 93390 Moskosel","65°52'26.9""N 19°27'18.5""E","59"
"kWatt Byske Lastbil U+0026amp; Personbil","Maskingatan 7, 93452 Byske","64°56'54.5""N 21°11'28.9""E","49"
"CHARGE TO MOVE SVERIGE AB - Härnösand","Saltviksvägen 14, 87154 Härnösand","62°39'1.9""N 17°53'42.1""E","563"
"Scania Sverige Arendal","Synnerödsvägen 12, 41878 Göteborg","57°42'15.4""N 11°49'24.3""E","654"
"Scania Sverige Enköping","Varggatan 31, 74940 Enköping","59°38'25.1""N 17°8'46.2""E","664"
"Qstar Midlanda Elladdning","Lövuddsvägen, 86141 Sörberge","62°31'9.3""N 17°26'16.9""E","36"
"Circle K Värnamo En3","Högalund 2, 33144 Värnamo","57°9'52.3""N 14°4'36.6""E","98"
"CHARGE TO MOVE SVERIGE AB - Vimmerby","Nosshult 103, 59893 Vimmerby","57°39'54.8""N 15°53'45.8""E","517"
"Scania Uppsala","Gnistagatan, 75454 Uppsala","59°50'41.9""N 17°43'37.4""E","30"
"kWatt Luleå Lastbil","Handelsvägen 13, 97345 Luleå","65°37'29.7""N 22°2'21.2""E","54"
"Revirvägen 18","Revirvägen 18, 69530 Laxå","58°59'0.0""N 14°37'38.6""E","119"
"Örjasvägen 16","Örjasvägen 16, 79236 Mora","60°59'11.7""N 14°31'29.9""E","229"
"Laddbolaget Skoghall","Södra killingvägen 10, 66334 Skoghall","59°19'49.8""N 13°27'27.7""E","522"
"Laddbolaget Arvika","Fallebergsvägen 2, 67134 Arvika","59°39'23.5""N 12°38'32.4""E","449"
"DalaFrakt Charging","Limhagsvägen 4, 79332 Leksand","60°44'41.1""N 15°0'2.8""E","643"
"Laddbolaget Kristinehamn","Varnumsleden 21, 68191 Kristinehamn","59°17'58.6""N 14°8'0.8""E","447"
"Laddbolaget Årjäng","Forsbackegatan 1, 67231 Årjäng","59°23'53.8""N 12°7'41.1""E","273"
"Laddbolaget Åmål","Hovslagaregatan 2, 66234 Åmål","59°2'46.1""N 12°41'29.7""E","271"
"Laddbolaget Filipstad","Åsenleden 10, 68234 Filipstad","59°42'59.6""N 14°11'1.0""E","450"
"Laddbolaget Charlottenberg","Hökedalsvägen 1, 67392 Charlottenberg","59°52'16.6""N 12°17'28.0""E","558"
"Laddbolaget Örebro","Pilängsgatan 15, 70227 Örebro","59°14'38.2""N 15°6'12.3""E","272"
"Laddbolaget Bråtebäcken","Bråtebäcken 321, 65639 Karlstad","59°24'30.5""N 13°37'31.8""E","520"
"Katrineholm Uppsalavägen | GITO","Uppsalavägen 13, 64149 Katrineholm","59°0'24.9""N 16°14'16.5""E","23"
"Göteborg Exportgatan | GITO","Exportgatan 71, 42246 Hisings Backa","57°44'39.2""N 11°59'43.2""E","11"
"Halmstad Transportvägen | GITO","Transportvägen, 30592 Holm","56°42'49.5""N 12°53'19.4""E","95"
"Västerås Stop128 | GITO","Speditörsgatan 1, 72476 Västerås","59°35'48.7""N 16°26'7.3""E","531"
"Göteborgs Hamn | GITO","Ytterhamnsvägen 1, 41878 Göteborg","57°42'7.2""N 11°51'32.2""E","7"
"Köping Volvo | GITO","Betagatan 2, 73154 Köping","59°29'59.9""N 15°58'54.9""E","27"
"Skövde Norra Ryd | GITO","Rydsdalsvägen 4, 54965 Skövde","58°26'22.2""N 13°51'45.2""E","19"
"Åsbäcksvägen 5","Åsbäcksvägen 5, 66434 Grums","59°21'51.7""N 13°8'29.2""E","24"
